threshold,precision,recall,f1,auc,accuracy
0.0,0.38,1.0,0.55,0.74,0.38
0.05,0.38,1.0,0.55,0.74,0.38
0.1,0.39,0.99,0.56,0.74,0.4
0.15,0.4,0.96,0.57,0.74,0.43
0.2,0.44,0.94,0.6,0.74,0.51
0.25,0.46,0.94,0.61,0.74,0.55
0.3,0.47,0.9,0.62,0.74,0.58
0.35,0.49,0.9,0.63,0.74,0.59
0.4,0.62,0.48,0.54,0.74,0.69
0.45,0.63,0.43,0.51,0.74,0.69
0.5,0.62,0.38,0.47,0.74,0.67
0.55,0.64,0.37,0.47,0.74,0.68
0.6,0.64,0.29,0.4,0.74,0.67
0.65,0.64,0.26,0.37,0.74,0.66
0.7,0.64,0.04,0.08,0.74,0.62
0.75,0.0,0.0,0.0,0.74,0.62
0.8,0.0,0.0,0.0,0.74,0.62
0.85,0.0,0.0,0.0,0.74,0.62
0.9,0.0,0.0,0.0,0.74,0.62
0.95,0.0,0.0,0.0,0.74,0.62
1.0,0.0,0.0,0.0,0.74,0.62
