threshold,precision,recall,f1,auc,accuracy
0.0,0.38,1.0,0.55,0.72,0.38
0.05,0.38,1.0,0.55,0.72,0.38
0.1,0.38,0.99,0.55,0.72,0.38
0.15,0.39,0.99,0.56,0.72,0.4
0.2,0.4,0.98,0.57,0.72,0.42
0.25,0.44,0.95,0.6,0.72,0.52
0.3,0.48,0.87,0.62,0.72,0.58
0.35,0.56,0.68,0.62,0.72,0.67
0.4,0.59,0.63,0.61,0.72,0.69
0.45,0.64,0.38,0.48,0.72,0.68
0.5,0.65,0.35,0.45,0.72,0.68
0.55,0.66,0.3,0.42,0.72,0.67
0.6,0.65,0.3,0.41,0.72,0.67
0.65,0.64,0.27,0.38,0.72,0.66
0.7,0.55,0.04,0.07,0.72,0.62
0.75,0.0,0.0,0.0,0.72,0.62
0.8,0.0,0.0,0.0,0.72,0.62
0.85,0.0,0.0,0.0,0.72,0.62
0.9,0.0,0.0,0.0,0.72,0.62
0.95,0.0,0.0,0.0,0.72,0.62
1.0,0.0,0.0,0.0,0.72,0.62
