threshold,precision,recall,f1,auc,accuracy
0.0,0.43,1.0,0.6,0.81,0.43
0.05,0.43,1.0,0.6,0.81,0.43
0.1,0.43,1.0,0.6,0.81,0.43
0.15,0.43,1.0,0.6,0.81,0.43
0.2,0.44,0.99,0.61,0.81,0.44
0.25,0.48,0.96,0.64,0.81,0.53
0.3,0.49,0.96,0.65,0.81,0.56
0.35,0.61,0.89,0.72,0.81,0.71
0.4,0.61,0.89,0.72,0.81,0.71
0.45,0.69,0.61,0.65,0.81,0.71
0.5,0.69,0.61,0.65,0.81,0.71
0.55,0.75,0.56,0.64,0.81,0.73
0.6,0.75,0.56,0.64,0.81,0.73
0.65,0.89,0.5,0.64,0.81,0.76
0.7,0.91,0.46,0.61,0.81,0.75
0.75,0.9,0.4,0.56,0.81,0.72
0.8,0.9,0.39,0.54,0.81,0.71
0.85,0.95,0.18,0.31,0.81,0.64
0.9,0.0,0.0,0.0,0.81,0.57
0.95,0.0,0.0,0.0,0.81,0.57
1.0,0.0,0.0,0.0,0.81,0.57
